Date Time, Water Level, Sigma, O, F, R, L, Quality 
2018-10-18 10:54,1.877,0.010,1,0,0,0,p
2018-10-18 11:00,1.880,0.010,1,0,0,0,p
2018-10-18 11:06,1.870,0.007,1,0,0,0,p
2018-10-18 11:12,1.864,0.013,1,0,0,0,p
2018-10-18 11:18,1.870,0.010,1,0,0,0,p
2018-10-18 11:24,1.860,0.010,1,0,0,0,p
2018-10-18 11:30,1.847,0.010,1,0,0,0,p
2018-10-18 11:36,1.854,0.010,1,0,0,0,p
2018-10-18 11:42,1.827,0.010,1,0,0,0,p
2018-10-18 11:48,1.834,0.010,1,0,0,0,p
2018-10-18 11:54,1.824,0.007,1,0,0,0,p
2018-10-18 12:00,1.808,0.010,1,0,0,0,p
2018-10-18 12:06,1.798,0.010,1,0,0,0,p
2018-10-18 12:12,1.788,0.013,1,0,0,0,p
2018-10-18 12:18,1.778,0.013,1,0,0,0,p
2018-10-18 12:24,1.775,0.010,1,0,0,0,p
2018-10-18 12:30,1.765,0.010,1,0,0,0,p
2018-10-18 12:36,1.752,0.010,0,0,0,0,p
2018-10-18 12:42,1.749,0.010,1,0,0,0,p
2018-10-18 12:48,1.726,0.010,0,0,0,0,p
2018-10-18 12:54,1.719,0.026,1,0,0,0,p
2018-10-18 13:00,1.713,0.020,0,0,0,0,p
2018-10-18 13:06,1.709,0.013,1,0,0,0,p
2018-10-18 13:12,1.686,0.013,1,0,0,0,p
2018-10-18 13:18,1.686,0.010,1,0,0,0,p
2018-10-18 13:24,1.677,0.010,1,0,0,0,p
2018-10-18 13:30,1.657,0.016,1,0,0,0,p
2018-10-18 13:36,1.650,0.013,1,0,0,0,p
2018-10-18 13:42,1.631,0.013,1,0,0,0,p
2018-10-18 13:48,1.627,0.010,1,0,0,0,p
2018-10-18 13:54,1.604,0.010,1,0,0,0,p
2018-10-18 14:00,1.611,0.010,1,0,0,0,p
2018-10-18 14:06,1.591,0.010,1,0,0,0,p
2018-10-18 14:12,1.591,0.010,1,0,0,0,p
2018-10-18 14:18,1.585,0.010,1,0,0,0,p
2018-10-18 14:24,1.585,0.010,1,0,0,0,p
2018-10-18 14:30,1.568,0.007,1,0,0,0,p
2018-10-18 14:36,1.572,0.010,1,0,0,0,p
2018-10-18 14:42,1.549,0.010,1,0,0,0,p
2018-10-18 14:48,1.555,0.010,1,0,0,0,p
2018-10-18 14:54,1.529,0.010,1,0,0,0,p
2018-10-18 15:00,1.535,0.007,1,0,0,0,p
2018-10-18 15:06,1.519,0.010,1,0,0,0,p
2018-10-18 15:12,1.509,0.010,1,0,0,0,p
2018-10-18 15:18,1.496,0.010,0,0,0,0,p
2018-10-18 15:24,1.483,0.007,1,0,0,0,p
